RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,PrevDelq,RiskEst,TradesDelq,RevBalance/CreditLimit
Bad,68.0,260.0,7.0,72.0,21.0,1.0,1.0,96.0,0-9 months,120+ days delinquent,120+ days delinquent,23.0,1.0,39.0,0-4 months,1.0,9.0,5.0,2.0,0.0,70.0,Yes,High Risk,Yes,Low
Bad,70.0,143.0,5.0,55.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,20.0,2.0,45.0,0-4 months,1.0,43.0,6.0,3.0,2.0,100.0,No,High Risk,No,High
Bad,61.0,58.0,15.0,41.0,2.0,2.5,2.6,100.0,No delinquencies,derogatory comment,current and never delinquent,7.0,0.0,67.0,0-4 months,0.0,0.0,0.0,2.0,1.0,0.5,No,High Risk,No,Low
Bad,66.0,77.0,2.0,37.0,8.0,2.5,2.6,90.0,30-39 months,unknown delinquency,derogatory comment,10.0,1.0,82.0,0-4 months,0.0,28.0,4.0,4.0,1.0,100.0,Yes,High Risk,Yes,High
Good,84.0,315.0,7.0,150.0,20.0,0.0,0.0,95.0,40-49 months,unknown delinquency,30 days delinquent,20.0,1.0,25.0,0-4 months,0.0,13.0,5.0,2.0,0.0,64.0,Yes,Low Risk,Yes,Low
Good,54.0,175.0,4.0,58.0,42.0,0.0,0.0,90.0,0-9 months,30 days delinquent,30 days delinquent,42.0,3.0,24.0,0-4 months,2.0,41.0,7.0,2.0,2.5,60.0,Yes,High Risk,Yes,High
Bad,55.0,118.0,8.0,72.0,24.0,2.5,1.0,72.5,0-9 months,30 days delinquent,120+ days delinquent,30.0,1.0,10.0,0-4 months,0.0,36.0,4.0,3.0,2.0,54.0,Yes,High Risk,Yes,High
Good,79.0,251.0,25.0,99.0,23.0,0.0,0.0,91.0,10-19 months,30 days delinquent,30 days delinquent,24.0,0.0,17.0,20+ months,0.0,6.0,3.0,2.0,0.0,31.0,Yes,Low Risk,Yes,Low
Bad,69.0,454.0,17.0,37.0,4.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,4.0,0.0,75.0,No inquiries,1.0,118.0,1.0,2.0,1.0,100.0,No,High Risk,No,High
Bad,73.0,71.0,12.0,47.0,9.0,0.0,0.0,89.0,10-19 months,unknown delinquency,30 days delinquent,9.0,0.0,67.0,0-4 months,2.0,17.0,1.0,3.0,1.0,100.0,Yes,Low Risk,Yes,Low
Bad,86.0,176.0,13.0,67.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,0.0,41.0,0-4 months,1.0,12.0,3.0,2.0,0.0,100.0,No,Low Risk,No,Low
Good,80.0,230.0,6.0,84.0,34.0,0.0,0.0,94.0,20-29 months,unknown delinquency,30 days delinquent,34.0,1.0,32.0,0-4 months,2.0,11.0,5.0,2.0,0.0,64.0,Yes,Low Risk,Yes,Low
Bad,57.0,165.0,2.0,71.0,38.0,0.0,0.0,98.0,0-9 months,30 days delinquent,30 days delinquent,48.0,3.0,44.0,0-4 months,5.0,89.0,9.5,3.0,2.5,88.0,Yes,High Risk,Yes,High
Good,82.0,115.0,4.0,58.0,24.0,1.0,0.0,96.0,50-59 months,unknown delinquency,60 days delinquent,25.0,4.0,52.0,0-4 months,1.0,2.0,1.0,4.0,0.0,71.0,Yes,Low Risk,Yes,Low
Bad,69.0,165.0,9.0,49.0,24.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,24.0,2.0,33.0,No inquiries,0.0,45.0,6.0,2.0,1.0,80.0,No,High Risk,No,High
Good,76.0,284.0,7.0,92.0,13.0,1.0,1.0,93.0,60-69 months,unknown delinquency,120+ days delinquent,15.0,1.0,43.0,0-4 months,1.0,27.0,1.0,3.0,0.0,100.0,Yes,Low Risk,Yes,High
Good,78.0,263.0,23.0,102.0,19.0,0.0,0.0,95.0,30-39 months,unknown delinquency,30 days delinquent,19.0,0.0,42.0,10-14 months,0.0,17.0,6.0,3.0,0.0,82.0,Yes,Low Risk,Yes,Low
Bad,72.0,259.0,5.0,92.0,27.0,0.0,0.0,96.0,30-39 months,unknown delinquency,30 days delinquent,27.0,3.0,30.0,0-4 months,0.0,14.0,3.0,3.0,1.0,47.0,Yes,Low Risk,Yes,Low
Good,86.0,246.0,4.0,99.0,19.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,1.0,47.0,0-4 months,3.0,3.0,3.0,4.0,0.0,78.0,No,Low Risk,No,Low
Bad,43.0,255.0,3.0,119.0,29.0,1.0,1.0,72.5,0-9 months,30 days delinquent,30 days delinquent,3.0,4.0,33.0,No inquiries,1.0,63.0,7.0,6.0,2.5,72.0,Yes,High Risk,Yes,High
Bad,69.0,165.0,3.0,70.0,10.0,2.0,1.0,85.0,60-69 months,unknown delinquency,derogatory comment,13.0,1.0,54.0,0-4 months,2.0,90.0,5.0,1.0,2.0,100.0,Yes,High Risk,Yes,High
Bad,87.0,134.0,4.0,65.0,8.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,8.0,2.0,50.0,No inquiries,0.0,19.0,1.0,2.0,0.0,50.0,No,Low Risk,No,Low
Bad,54.0,179.0,8.0,81.0,21.0,0.0,0.0,72.5,0-9 months,30 days delinquent,30 days delinquent,21.0,3.0,14.0,No inquiries,2.0,92.0,9.5,3.0,2.5,94.0,Yes,High Risk,Yes,High
Good,91.0,132.0,25.5,143.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,2.0,0.0,8.0,20+ months,0.0,9.0,2.0,2.0,0.0,22.0,No,Low Risk,No,Low
Good,61.0,296.0,9.0,122.0,11.0,1.0,1.0,82.0,20-29 months,derogatory comment,30 days delinquent,46.0,1.0,64.0,0-4 months,1.0,29.0,2.0,4.0,1.0,75.0,Yes,High Risk,Yes,High
Good,83.0,150.0,6.0,87.0,15.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,15.0,1.0,60.0,0-4 months,2.0,25.0,2.0,1.0,0.0,75.0,No,Low Risk,No,High
Bad,65.0,145.0,8.0,74.0,11.0,2.0,2.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,13.0,1.0,82.0,0-4 months,2.0,28.0,4.0,2.0,1.0,100.0,No,High Risk,No,High
Good,70.0,240.0,19.0,93.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,20.0,0.0,15.0,0-4 months,1.0,67.0,7.0,1.0,2.5,69.0,No,High Risk,No,High
Good,82.0,273.0,6.0,103.0,28.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,1.0,31.0,0-4 months,1.0,2.0,4.0,3.0,0.0,50.0,No,Low Risk,No,Low
Good,77.0,171.0,2.0,73.0,23.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,24.0,2.0,29.0,0-4 months,5.0,19.0,3.0,2.0,0.0,50.0,No,Low Risk,No,Low
Bad,84.0,307.0,0.0,86.0,18.0,0.0,0.0,95.0,70-79 months,unknown delinquency,30 days delinquent,19.0,4.0,21.0,No inquiries,1.0,7.0,4.0,2.0,0.0,43.0,Yes,Low Risk,Yes,Low
Good,76.0,42.0,21.0,32.0,4.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,4.0,0.0,75.0,20+ months,0.0,0.0,0.0,2.0,1.0,67.0,No,Low Risk,No,Low
Good,70.0,454.0,1.0,136.0,38.0,2.5,0.0,91.0,20-29 months,unknown delinquency,60 days delinquent,44.0,3.0,50.0,0-4 months,5.0,16.0,8.0,6.0,1.0,75.0,Yes,High Risk,Yes,Low
Good,80.0,290.0,21.0,100.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,0.0,30.0,0-4 months,1.0,42.0,2.0,2.0,1.0,40.0,No,Low Risk,No,High
Good,88.0,166.0,3.0,92.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,1.0,40.0,0-4 months,2.0,0.0,0.0,1.0,0.0,25.0,No,Low Risk,No,Low
Bad,81.0,152.0,25.0,83.0,8.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,8.0,0.0,82.0,0-4 months,0.0,0.0,0.0,2.0,1.0,67.0,No,Low Risk,No,Low
Good,91.0,230.0,12.0,135.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,0.0,16.0,10-14 months,0.0,10.0,1.0,2.0,0.0,25.0,No,Low Risk,No,Low
Bad,76.0,212.0,14.0,87.0,21.0,0.0,0.0,100.0,No delinquencies,unknown delinquency,unknown delinquency,21.0,0.0,33.0,No inquiries,0.0,40.0,7.0,2.0,0.0,90.0,No,Low Risk,No,High
Bad,69.0,125.0,2.0,60.0,7.0,2.0,2.0,80.0,30-39 months,unknown delinquency,120+ days delinquent,10.0,3.0,30.0,0-4 months,5.0,52.0,2.0,1.0,1.0,75.0,Yes,High Risk,Yes,High
Bad,63.0,31.0,6.0,17.0,7.0,2.0,2.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,9.0,3.0,14.0,0-4 months,0.0,51.0,4.0,1.0,1.0,100.0,No,High Risk,No,High
Bad,68.0,39.0,4.0,20.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,3.0,60.0,5-9 months,1.0,51.0,3.0,3.0,2.0,86.0,No,High Risk,No,High
Good,88.0,312.0,11.0,109.0,17.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,2.0,53.0,0-4 months,2.0,5.0,2.0,2.0,0.0,67.0,No,Low Risk,No,Low
Bad,59.0,85.0,2.0,43.0,16.0,0.0,0.0,94.0,50-59 months,unknown delinquency,30 days delinquent,17.0,2.0,24.0,0-4 months,5.0,70.0,7.0,3.0,2.5,83.0,Yes,High Risk,Yes,High
Bad,69.0,99.0,6.0,33.0,23.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,3.0,21.0,0-4 months,5.0,33.0,3.0,3.0,1.0,43.0,No,High Risk,No,High
Bad,72.0,132.0,4.0,63.0,22.0,1.0,0.0,96.0,20-29 months,unknown delinquency,60 days delinquent,24.0,4.0,25.0,0-4 months,2.0,5.0,5.0,2.0,1.0,58.0,Yes,Low Risk,Yes,Low
Bad,57.0,206.0,4.0,78.0,27.0,0.0,0.0,89.0,0-9 months,30 days delinquent,30 days delinquent,37.0,3.0,14.0,0-4 months,3.0,27.0,8.0,2.0,2.0,59.0,Yes,High Risk,Yes,High
Good,80.0,109.0,7.0,58.0,36.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,38.0,3.0,14.0,No inquiries,0.0,7.0,4.0,2.0,1.0,26.0,No,Low Risk,No,Low
Bad,69.0,111.0,8.0,58.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,3.0,36.0,5-9 months,0.0,86.0,5.0,1.0,2.5,100.0,No,High Risk,No,High
Good,69.0,158.0,8.0,64.0,22.0,1.0,1.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,22.0,1.0,18.0,0-4 months,0.0,17.0,6.0,2.0,0.0,56.0,No,High Risk,No,Low
Good,88.0,331.0,3.0,113.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,28.0,1.0,24.0,5-9 months,0.0,10.0,4.0,3.0,0.0,70.0,No,Low Risk,No,Low
Good,87.0,182.0,8.0,73.0,45.0,0.0,0.0,98.0,No Usable/Valid,unknown delinquency,30 days delinquent,45.0,4.0,20.0,15-19 months,0.0,4.0,2.0,2.0,0.0,20.0,Yes,Low Risk,Yes,Low
Bad,63.0,149.0,13.0,49.0,17.0,1.0,1.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,0.0,6.0,No inquiries,2.0,58.0,7.0,1.0,2.5,57.0,No,High Risk,No,High
Good,74.0,254.0,15.0,66.0,39.0,0.0,0.0,95.0,0-9 months,30 days delinquent,30 days delinquent,53.0,0.0,38.0,5-9 months,1.0,6.0,6.0,4.0,1.0,53.0,Yes,Low Risk,Yes,Low
Good,60.0,143.0,1.0,74.0,22.0,1.0,1.0,96.0,0-9 months,derogatory comment,derogatory comment,29.0,4.0,34.0,0-4 months,3.0,30.0,6.0,3.0,2.0,82.0,Yes,High Risk,Yes,High
Good,62.0,135.0,2.0,63.0,9.0,2.5,2.0,72.5,20-29 months,unknown delinquency,120+ days delinquent,14.0,1.0,38.0,0-4 months,0.0,0.0,0.0,2.0,1.0,0.5,Yes,High Risk,Yes,Low
Bad,59.0,83.0,2.0,25.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,14.0,3.0,21.0,No inquiries,5.0,95.0,5.0,2.0,2.0,90.0,No,High Risk,No,High
Good,83.0,187.0,2.0,75.0,30.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,1.0,45.0,0-4 months,1.0,5.0,1.0,5.0,0.0,55.0,No,Low Risk,No,Low
Good,80.0,95.0,25.5,65.0,5.0,0.0,0.0,80.0,60-69 months,unknown delinquency,30 days delinquent,5.0,0.0,60.0,no “hard” inquiries,0.0,2.0,1.0,1.0,0.0,67.0,Yes,Low Risk,Yes,Low
Bad,65.0,166.0,6.0,78.0,16.0,0.0,0.0,78.0,10-19 months,unknown delinquency,30 days delinquent,18.0,1.0,56.0,0-4 months,0.0,51.0,3.0,2.0,1.0,83.0,Yes,High Risk,Yes,High
Good,86.0,167.0,5.0,65.0,46.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,47.0,4.0,20.0,0-4 months,1.0,2.0,1.0,2.0,0.0,13.0,No,Low Risk,No,Low
Bad,45.0,56.0,10.0,35.0,4.0,2.5,2.6,75.0,0-9 months,derogatory comment,30 days delinquent,4.0,1.0,25.0,No inquiries,4.0,68.0,1.0,1.0,0.0,50.0,Yes,High Risk,Yes,High
Good,76.0,150.0,7.0,70.0,33.0,0.0,0.0,97.0,No Usable/Valid,unknown delinquency,30 days delinquent,33.0,1.0,27.0,0-4 months,0.0,32.0,5.0,4.0,1.0,64.0,Yes,Low Risk,Yes,High
Good,84.0,170.0,4.0,67.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,4.0,53.0,0-4 months,2.0,1.0,1.0,4.0,0.0,56.0,No,Low Risk,No,Low
Good,72.0,225.0,9.0,56.0,17.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,5.0,12.0,0-4 months,2.0,50.0,7.0,1.0,1.0,69.0,No,Low Risk,No,High
Bad,70.0,258.0,3.0,43.0,27.0,1.0,1.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,41.0,7.5,15.0,0-4 months,5.0,5.0,9.5,2.0,0.0,67.0,No,High Risk,No,Low
Good,82.0,295.0,16.0,108.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,0.0,39.0,0-4 months,0.0,36.0,2.0,2.0,1.0,40.0,No,Low Risk,No,High
Bad,86.0,419.0,10.0,122.0,17.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,1.0,72.0,0-4 months,0.0,0.0,0.0,2.0,1.0,50.0,No,Low Risk,No,Low
Good,80.0,289.0,7.0,116.0,33.0,0.0,0.0,97.0,50-59 months,unknown delinquency,30 days delinquent,26.0,2.0,12.0,no “hard” inquiries,0.0,18.0,6.0,2.0,1.0,47.0,Yes,Low Risk,Yes,Low
Bad,74.0,197.0,5.0,90.0,30.0,0.0,0.0,97.0,No Usable/Valid,unknown delinquency,30 days delinquent,31.0,2.0,16.0,0-4 months,0.0,25.0,6.0,1.0,2.0,54.0,Yes,Low Risk,Yes,High
Good,65.0,454.0,6.0,87.0,39.0,0.0,0.0,93.0,20-29 months,unknown delinquency,30 days delinquent,42.0,2.0,29.0,No inquiries,0.0,66.0,9.5,3.0,2.5,77.0,Yes,High Risk,Yes,High
Bad,63.0,349.0,4.0,111.0,34.0,0.0,0.0,97.0,10-19 months,unknown delinquency,30 days delinquent,35.0,1.0,6.0,15-19 months,0.0,83.0,9.5,1.0,2.5,91.0,Yes,High Risk,Yes,High
Bad,74.0,149.0,3.0,36.0,14.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,14.0,4.0,50.0,0-4 months,1.0,32.0,3.0,5.0,0.0,80.0,No,Low Risk,No,High
Good,82.0,224.0,3.0,122.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,5.0,2.0,10.0,No inquiries,1.0,16.0,8.0,2.0,1.0,73.0,No,Low Risk,No,Low
Good,61.0,171.0,8.0,78.0,40.0,0.0,0.0,93.0,0-9 months,30 days delinquent,30 days delinquent,42.0,1.0,24.0,no “hard” inquiries,0.0,49.0,7.0,3.0,2.0,67.0,Yes,High Risk,Yes,High
Good,83.0,269.0,14.0,122.0,17.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,0.0,47.0,0-4 months,0.0,24.0,4.0,1.0,0.0,100.0,No,Low Risk,No,High
Good,79.0,225.0,2.0,111.0,22.0,2.5,1.0,82.0,20-29 months,unknown delinquency,120+ days delinquent,28.0,1.0,14.0,0-4 months,1.0,1.0,1.0,1.0,0.0,30.0,Yes,Low Risk,Yes,Low
Bad,66.0,143.0,4.0,75.0,10.0,1.0,1.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,10.0,1.0,30.0,No inquiries,2.0,95.0,2.0,2.0,1.0,100.0,No,High Risk,No,High
Bad,67.0,159.0,14.0,88.0,14.0,1.0,1.0,87.0,20-29 months,unknown delinquency,derogatory comment,16.0,0.0,20.0,No inquiries,0.0,68.0,5.0,2.0,2.0,70.0,Yes,High Risk,Yes,High
Bad,41.0,169.0,4.0,85.0,33.0,2.5,0.0,74.0,0-9 months,60 days delinquent,60 days delinquent,39.0,3.0,31.0,0-4 months,1.0,70.0,9.5,4.0,2.5,88.0,Yes,High Risk,Yes,High
Good,82.0,178.0,7.0,70.0,24.0,1.0,0.0,89.0,40-49 months,unknown delinquency,60 days delinquent,27.0,2.0,41.0,0-4 months,2.0,12.0,2.0,1.0,0.0,60.0,Yes,Low Risk,Yes,Low
Bad,74.0,195.0,2.0,97.0,15.0,1.0,1.0,82.0,20-29 months,unknown delinquency,derogatory comment,14.0,2.0,24.0,No inquiries,0.0,18.0,5.0,2.0,0.0,70.0,Yes,Low Risk,Yes,Low
Good,84.0,347.0,11.0,74.0,19.0,0.0,0.0,95.0,40-49 months,unknown delinquency,30 days delinquent,19.0,1.0,32.0,0-4 months,1.0,4.0,5.0,2.0,0.0,64.0,Yes,Low Risk,Yes,Low
Good,65.0,305.0,8.0,93.0,25.0,2.5,2.0,85.0,30-39 months,unknown delinquency,90 days delinquent,28.0,1.0,33.0,0-4 months,2.0,70.0,5.0,1.0,2.0,88.0,Yes,High Risk,Yes,High
Good,75.0,188.0,4.0,50.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,1.0,50.0,0-4 months,5.0,44.0,5.0,4.0,1.0,82.0,No,Low Risk,No,High
Bad,72.0,30.0,23.0,27.0,2.0,0.0,0.0,72.5,0-9 months,30 days delinquent,30 days delinquent,3.0,0.0,33.0,No inquiries,0.0,0.0,0.0,1.0,0.0,33.0,Yes,Low Risk,Yes,Low
Good,87.0,172.0,17.0,112.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,3.0,0.0,28.0,No inquiries,0.0,7.0,4.0,2.0,0.0,75.0,No,Low Risk,No,Low
Bad,54.0,35.0,14.0,22.0,6.0,1.0,1.0,83.0,0-9 months,derogatory comment,30 days delinquent,6.0,0.0,67.0,No inquiries,2.0,79.0,1.0,3.0,1.0,100.0,Yes,High Risk,Yes,High
Good,68.0,158.0,2.0,70.0,42.0,0.0,0.0,98.0,50-59 months,unknown delinquency,30 days delinquent,45.0,3.0,51.0,0-4 months,3.0,59.0,3.0,3.0,2.0,60.0,Yes,High Risk,Yes,High
Good,79.0,289.0,4.0,105.0,48.0,0.0,0.0,100.0,No delinquencies,unknown delinquency,unknown delinquency,51.0,1.0,29.0,0-4 months,2.0,40.0,5.0,3.0,1.0,44.0,No,Low Risk,No,High
Good,70.0,81.0,16.0,53.0,17.0,1.0,1.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,17.0,0.0,24.0,0-4 months,1.0,32.0,9.0,2.0,0.0,73.0,No,High Risk,No,High
Good,89.0,317.0,25.5,155.0,9.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,0.0,20.0,0-4 months,0.0,6.0,4.0,2.0,0.0,80.0,No,Low Risk,No,Low
Good,83.0,174.0,11.0,89.0,22.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,23.0,1.0,43.0,0-4 months,1.0,12.0,2.0,3.0,0.0,100.0,No,Low Risk,No,Low
Bad,62.0,340.0,11.0,97.0,18.0,2.5,1.0,72.5,10-19 months,unknown delinquency,90 days delinquent,24.0,1.0,39.0,5-9 months,0.0,68.0,3.0,3.0,2.0,78.0,Yes,High Risk,Yes,High
Good,73.0,200.0,1.0,58.0,48.0,0.0,0.0,97.0,10-19 months,unknown delinquency,30 days delinquent,53.0,7.5,23.0,0-4 months,1.0,25.0,9.5,5.0,1.0,66.0,Yes,Low Risk,Yes,High
Bad,67.0,162.0,25.5,95.0,16.0,0.0,0.0,94.0,0-9 months,30 days delinquent,30 days delinquent,17.0,0.0,19.0,15-19 months,0.0,67.0,2.0,1.0,1.0,60.0,Yes,High Risk,Yes,High
Good,78.0,327.0,3.0,100.0,41.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,12.0,2.0,24.0,20+ months,0.0,12.0,4.0,3.0,2.0,30.0,No,Low Risk,No,Low
Bad,59.0,30.0,2.0,15.0,10.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,12.0,1.0,25.0,0-4 months,3.0,62.0,6.0,2.0,2.5,89.0,No,High Risk,No,High
Bad,60.0,75.0,4.0,38.0,27.0,0.0,0.0,96.0,30-39 months,unknown delinquency,30 days delinquent,9.0,4.0,30.0,No inquiries,1.0,64.0,8.0,5.0,2.0,70.0,Yes,High Risk,Yes,High
Good,84.0,277.0,8.0,109.0,8.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,8.0,1.0,50.0,0-4 months,0.0,33.0,2.0,1.0,0.0,100.0,No,Low Risk,No,High
Good,72.0,209.0,5.0,97.0,24.0,0.0,0.0,96.0,40-49 months,unknown delinquency,30 days delinquent,24.0,2.0,21.0,5-9 months,0.0,38.0,7.0,1.0,0.0,67.0,Yes,Low Risk,Yes,High
Bad,57.0,66.0,5.0,36.0,19.0,0.0,0.0,95.0,No Usable/Valid,unknown delinquency,30 days delinquent,19.0,2.0,63.0,0-4 months,1.0,92.0,5.0,3.0,2.0,100.0,Yes,High Risk,Yes,High
Bad,63.0,78.0,1.0,35.0,5.0,0.0,0.0,83.0,0-9 months,30 days delinquent,30 days delinquent,6.0,1.0,67.0,0-4 months,2.0,28.0,1.0,2.0,1.0,100.0,Yes,High Risk,Yes,High
Bad,87.0,213.0,5.0,90.0,15.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,15.0,2.0,27.0,0-4 months,1.0,3.0,4.0,1.0,0.0,56.0,No,Low Risk,No,Low
Bad,58.0,274.0,11.0,144.0,9.0,2.0,0.0,72.5,40-49 months,30 days delinquent,60 days delinquent,11.0,1.0,36.0,0-4 months,3.0,68.0,2.0,3.0,1.0,100.0,Yes,High Risk,Yes,High
